Id;Sentence;IsNegated
1;If you like the costar, Liam Neeson, forget it, he hardly ever appears.;F F F F F F F F F F T T T
2;"""We're sexually attracted to one another, so I hope neither one of us dies,"" say Bowman and Gallagher, though not in so many words.";F F F F F F F F F T T T T T F F F F F T F F T T
3;I will not give this key plot twist away even if the trailer does.;F F T T F F T F F F F F F F
4;Richard is especially noteworthy, giving a performance that is both bigger than and full of life.;F F F F F F F F F F F F F F F F
5;Shan-Yu is not going to place high in the Disney Bad Guys Hall of Fame.;F F T F F T T F F F F F F F F
6;They all try to stay one step ahead of Ben (Joseph Chrest), the Empire's reptilian bellhop who locks out delinquent guests at a moment's notice.;F F F F F F F F F F F F F F F F F F F F F F F F F
7;But not SOUR DEATH BALLS.;F T T T T
8;The movie, directed by William Dear, who was responsible for the offensive remake of ANGELS IN THE OUTFIELD, shows no ambition in bringing this tale to the screen.;F F F F F F F F F F F F F F F F F F T T T F F F F F F F
9;The film has no humans and hence no human sex, nudity, or violence.;F F T T T F F T T T F F F
10;It is one of the best pieces of acting that I've seen this year, but most people will probably never see it, figuring that the movie is another forgettable teen comedy.;F F F F F F F F F F F F F F F F F T F T T T F F F F F F F F F
11;I have never seen THIS ISLAND EARTH before and the best part of MST3K is getting to see it.;F T T T T T T F F F F F F F F F F F F
12;Having never read the book, I cannot be sure if the problem stems from the book, Marleen Gorris's direction or Eileen Atkins's adaptation.;F T T F T F T T T F F F F F F F F F F F F F F
13;But there is never any romance in his films that amount to anything, and this film is no exception.;F F T T F T F F F F F F F F T T T T T
14;One morning, Josef K (Kyle MacLachlan) wakes up to find that he's been arrested for no apparent reason.;F F F F F F F F F F F F F T T T F T
15;Only Danny DeVito and Arnold Schwarzenegger could be less alike.;F F F F F F F F F F
16;Besides being without funds, both grew up in unhappy homes -- Isa because her parents broke up and Marie because her parents didn't.;F T T T F F F F F F F F F F F T T F F F F T T
17;If Gerard loses consciousness, it will be up to her (as his next-of-kin) to decide whether or not he is given food.;F F F F F F F F F F F F F F F F F T T T T T
18;Yang-Yang also argues that people can only see half of the truth since they can see in front of them but not behind.;F F F F F F F F F F F F F F F T F F F F F T T
19;Mario Van Peebles is developing into a director with a real flair for powerful visuals, and PANTHER is no exception.;F F F F F F F F F F F F F F F F T T T T
20;A safe choice at the video store if not a very involving one.;F F F F F F F T T F F F F
21;I will only setup the plot and give some of the dialog so you can get a flavor of the show, but without giving anything away.;F F F F F F F F F F F F F F F F F F F F F F T T T T
22;Life-weary and looking for a little affection, Delores drifts from day-to-day, not seeming to care what comes next.;F F F F F F F F F F F T F F T T T T
23;Why he had to cast Brando and Dunaway, I will never fully understand.;F F F F F F F F F T T F T
24;He's been harassed by cops all of his life, but he's the king of the boxing world now and figures he no longer has anything to fear.;F F F F F F F F F F F F F F F F F F F F F T T T F T T
25;But that's not the film's worst failing, because, beyond all the attempts to sell Kleenexes, HOPE FLOATS is boring.;F T T F F T T F F F F F F F F F F F F
26;I never laughed although there were a few members of my audience, including two women on either side of me, who went wild over it.;F T T F F F F F F F F F F F F F F F F F F F F F F
27;Katherine, not knowing he's alive, remains in a state of shock, but is asked to be a witness that she saw Joe burning to death.;F T T T T F F F F F F F F F F F F F F F F F F F F
28;And that may be all you need to know to determine whether or not this is your kind of flick.;F F F F F F F F F F F F F T T T F F F F
29;This is a multigenerational story, exploring not only Selena's realization of her dreams, but the importance of her father's vision to all that she accomplished.;F F F F F F T T F F F F F F F F F F F F F F F F F
30;The world of the media is shown to be worse than ever, as this new breed of executives are not really news people.;F F F F F F F F F F F F F F F F F F T T F T T
31;Along the way, we observe his relationship with his mother, his first attempts at hunting his own meals, and the harsh lessons that identify his place in the food chain.;F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F
32;It is so controversial, I will make no recommend to see it or not.;F F F F F T T T T F F F T T
33;There's nothing deep or meaningful to be unearthed in this feel-good comedy, but it nevertheless makes for solid entertainment.;T T T F T F F F F F F F F F F F F F F
34;The conventional three-act film storytelling structure may not be sacrosanct, but if you're telling a conventional story, it's a really good idea to use it.;F F F F F F F T T T F F F F F F F F F F F F F F F
35;Jeanne Chin plays Katherine, a meek and soft-spoken wife, who worries that her husband is unhappy with her because she is not giving him enough sex.;F F F F F F F F F F F F F F F F F F F F T T T T F T
36;This lesson is offered to explain why CHUCK & BUCK, for all the quirky things it does right, is ultimately an experience somewhere between improbable and downright insulting.;F F F F F F F F F F F F F F F F F F F F F F F F F F F F
37;"Copyright 1998 James Berardinelli ""My belief is that no movie, nothing in life, leaves people neutral.";F F F F F F T F T T T T T T T T
38;No matter how long they remain stranded on the desert island, she never has a bad hair day.;F F F F F F F F F F F F T T F T T T
39;I do not think this film is inappropriate for kids other than perhaps older and mature teenagers.;F T T T F F T T F F F F F F F F F
40;"When they come upon the poacher's hideout in the wilderness, Jessie wants to do something which Sean puts down with, ""Maybe you should write him a note.";F F F F F F F F F F F F F F F F F F F F F F F F F F F
41;It seemed empty, and to the bargain she's no beauty.;F F F F F F F T T T
42;I found the ending a let down and did not care for the way the story was wrapped up.;F F F F F F F F F T T F F F F T F F F
43;The movie is historically accurate, but its focus is less on the events of the time than on the relationship between the principals.;F F F F F F F T T T T T T F F F F F F F F F F
44;The government, which owns the rights to flubber but will not come through with the remuneration for it, shows up on Brainard's doorstep in the person of an IRS agent.;F F F F F F F F F T T T T F F F F F F F F F F F F F F F F F
45;She has been saving up for an operation for her son so that he will not suffer the same fate.;F F F F F F F F F F F F F F T T T F F F
46;It is not rated, but would probably be PG-13 for a little profanity and models in their underwear.;T T T T F F F F F F F F F F F F F F
47;That kind of film is a rarity indeed, and it is no sin to have aspirations to that kind of completeness.;F F F F F F F F F F T T T T T F F F F F F
48;Though SUNDAY asks plenty of questions without providing many answers, ambiguity isn't its problem.;F F F F F F F F F F F T T T
49;Most of the technical aspects of the show like the cinematography, music, and sets are acceptable, but nothing special.;F F F F F F F F F F F F F F F F F T T
50;The stern Mr. Kalman (Krabbé) is not friendly to her and considers her to be a whore because of the way she dresses.;F F F F F T T T F F F F F F F F F F F F F F F
51;He's not supposed to be tracking him any more -- according to the Bureau, they've got their man -- but LaCrosse has a very important reason for believing otherwise.;T T T F F F F F F F F F F F F F F F F F F F F F F F F F F
52;Perhaps this is the reason the story skims the surface and never invites you to go deeper.;F F F F F F F F F F F T T T F F F
